key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
915,6,1299;1559;1895;2012;5093;6864,uuuuuu,1;2;3;4;5;6,1;2;3;5;4;6,5,4,0.599579,False,u,6864,5,6,6864,u,1,False,MATCH
1142,9,1300;1465;2116;2151;2915;3827;5728;5740;6910,uuuuuuudc,1;2;3;4;5;6;7;8;9,1;3;2;4;5;7;8;6;9,8,2;6;7,0.879061,False,c,6910,8,9,6910,c,1,False,MATCH
929,11,1301;2981;3060;3765;4004;4241;4542;5426;5711;6127;6230,uuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11,1;2;3;5;4;6;7;8;9;10;11,10,4,0.366474,False,d,6230,10,11,6230,d,0,False,MATCH
1219,15,1302;1321;3445;3611;3727;3984;4051;4582;4769;5744;5804;5964;6585;6834;7029,cuuuuuuuuuuuudc,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,1;2;4;3;5;6;7;8;9;10;11;12;13;14;15,14,3,0.924276,False,c,7029,14,15,7029,c,1,False,MATCH
1061,10,1303;1818;2261;3932;4009;4407;4751;5027;5984;7198,uuuuuuuudc,1;2;3;4;5;6;7;8;9;10,1;2;3;4;5;7;6;8;10;9,9,6;9,0.029001,True,c,7198,8,10,5984,d,0,True,MISSING_CURRENT
378,11,1304;2010;2129;2770;3179;3694;4095;4676;6112;6534;7355,uuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11,1;3;2;4;5;6;7;8;10;9;11,10,2;9,0.548639,False,u,7355,10,11,7355,u,1,False,MATCH
328,5,1305;1342;2529;3523;5678,uuudc,1;2;3;4;5,1;2;4;3;5,4,3,0.468081,False,c,5678,4,5,5678,c,1,False,MATCH
1179,12,1306;1470;1783;2417;2922;3133;4198;4426;5304;5574;6027;7310,uuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12,1;2;4;3;5;7;6;9;8;10;12;11,11,3;6;8;11,0.233103,True,u,7310,10,12,6027,u,1,True,STALE_WINS
702,4,1307;3653;3838;6004,uuuu,1;2;3;4,1;2;3;4,3,-,0.994828,False,u,6004,3,4,6004,u,1,False,MATCH
270,3,1308;1952;7074,uuu,1;2;3,1;2;3,2,-,0.562309,False,u,7074,2,3,7074,u,1,False,MATCH
792,15,1309;1482;1507;1917;2293;3002;5010;5051;5326;5484;5609;6961;7259;7368;7376,uuuuuuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,1;2;3;4;5;6;7;9;10;8;11;12;14;13;15,14,8;9;13,0.901107,False,d,7376,14,15,7376,d,0,False,MATCH
983,9,1310;1352;2508;3220;3225;4833;5570;6951;7088,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;2;4;3;5;6;7;8;9,8,3,0.292992,False,u,7088,8,9,7088,u,1,False,MATCH
538,1,1313,u,1,1,0,-,-,False,u,1313,0,1,1313,u,1,False,MATCH
